pair,fold,regime,test_close_return,bb_mr_oos_sharpe_median,donchian_oos_sharpe_median,label,sign_flip,bb_mr_max_bars_ratio_median,donchian_max_bars_ratio_median
USDJPY,0,flat,0.0190437006908293,0.06011155508992,0.3045323214898621,++,False,0.0,0.16666666666666666
USDJPY,1,down,-0.0692365920854769,-2.212578913720412,0.7225472277049109,W,True,0.0,0.1114285714285714
USDJPY,2,flat,0.018872981929668,-2.295493375258518,0.8822906054329442,W,True,0.0,0.0625
USDJPY,3,up,0.0445213444924931,-2.10471277810519,-0.07648729070630331,--,False,0.0,0.1375
USDJPY,4,flat,-0.0051139592834567,-0.2733919087306882,0.981265375303694,W,True,0.0,0.171875
GBPJPY,0,down,-0.0250462269196063,-0.7183068379278658,-3.4762725773915717,--,False,0.0,0.06941489361702124
GBPJPY,1,flat,0.0062780717251912,0.9326701227933172,-1.4708893747894634,W,True,0.0,0.11354166666666665
GBPJPY,2,flat,0.0199278788461283,-0.6470452410649589,-0.4349526534142249,--,False,0.0,0.1379310344827586
GBPJPY,3,up,0.0340949598663512,0.7775442144880463,-1.0808550390827993,W,True,0.0,0.10391363022941966
GBPJPY,4,up,0.0450296686325198,1.0236285754806924,0.22742784982287423,++,False,0.0,0.125
EURJPY,0,down,-0.0292607695510434,-2.1723529862993396,0.04867218426639244,W,True,0.0,0.11274509803921565
EURJPY,1,up,0.028103356521879,-1.78930889404199,-1.401190465496707,--,False,0.0,0.05330882352941175
EURJPY,2,up,0.0429265702013472,0.101663696867454,-1.6698139477948402,W,True,0.0,0.14459930313588845
EURJPY,3,up,0.0431306537783012,-1.078373463255411,-1.6189758041752047,--,False,0.0,0.1456150027578599
EURJPY,4,up,0.0294462475086389,-0.4716401348214608,1.65130418911049,W,True,0.0,0.22413793103448276
AUDJPY,0,down,-0.0383828876543041,-0.8033952706191849,-2.5864547209216346,--,False,0.0,0.0555555555555555
AUDJPY,1,flat,-0.0193783462343975,-0.982802121433715,-0.0239958931485979,--,False,0.0,0.12357954545454544
AUDJPY,2,up,0.0236467432828505,-0.075690831500792,-2.427560779831809,--,False,0.0,0.04864253393665155
AUDJPY,3,up,0.059001883516525,0.8784996572807198,-1.024702570629933,W,True,0.0,0.1290322580645161
AUDJPY,4,up,0.0676775428669073,-2.886164925788855,0.5392594779781579,W,True,0.0,0.1428571428571428
